Author	m1i	sd1i	n1i	m2i	sd2i	n2i
Agarwal10	15.68	30.13	127	14.97	14.74	32
Anello04	15.7	5.9	181	14.3	5.7	180
AsitaDeSilva05	19.71	9.74	21	15.86	8.38	23
Cascalheira09	20.39	1.7	36	18.8	5.3	19
Clarke98	22.9	10	108	17.6	10.7	164
Dominguez05	29.57	8.97	19	17.87	7.18	29
Faux11	30.29	12.68	760	29.35	14.46	205
Galimberti08	19.82	6.16	23	8.63	2.81	29
Galluci04	14.05	11.1	42	11.55	6.12	137
Hogervorst02	24.92	11.33	62	15.86	11.33	66
Irizarry05	35.2	32.9	88	29.9	21.3	145
Joosten97	8.61	3.20	49	7.93	4.2	52
Karimi09	15.86	8.61	49	14.5	6.57	51
Koseoglu07	28.09	3.4	40	21.41	4.4	51
Lelhuber00	14.27	9.29	19	9.97	3.4	19
Li04	37.2	21.2	30	29.2	12.7	30
Linnebank10	14.05	7.74	60	15.62	7.04	60
Lovati07	15.56	7.93	76	8.2	5.32	108
Malaguarnera04	13.6	3.18	30	10.6	3.16	30
Mizrahi04	4.8	2.6	155	4.3	3.2	75
Morillas-Ruiz10	28.8	7.71	48	21.81	8.71	52
Parnetti92	14.05	1.13	26	9.46	1.07	52
Postiglione01	8.5	3.2	74	5.7	2.1	74
Quadri05	16.8	5.5	79	13.1	5.9	111
Ravaglia00	11.5	1.2	13	8	0.5	34
Ravaglia04	16.57	7.26	29	11.1	4.3	51
Regland92	20	18	32	16.7	15.461	53
Religa03	17.13	12.21	100	19.28	7.66	99
Selley02	25.09	4.7	25	14.74	4.26	27
Serot01	13.16	4.83	28	12.12	4.87	30
Villa09	19.03	4.08	18	16.77	4.69	20
