ID	Study	MeanBaseline	sdBaseline	MeanPostBaseline sdPostBaseline	NCFB Correlation group
1 Egea 43.7 22.9 10.8 11.4 27 0.4979 1
2 Haensel 65.9 28.6 3.5 3.4 25 0.4981 1
3 Loredo99 56.4 24.1 3.3 3.8 23 0.4442 1
4 Mills	 65 34 2.56 2.4 17 0.4969 1
5 Loredo06 65.9 28.6 3 4.7 22 0.5704 1
6 Norman 66.1 29.1 3.4 3.0 18 0.4967 1
7 Becker 62.5 17.8 3.4 3.1 16 0.5025 1
8 Spicuzza 55.3 11.9 2.1 0.3 15 0.5052 1
1 Egea 35.3 16.7 28 24.8 29 0.4979 0
2 Haensel 57.5 32.1 53.4 32.9 25 0.4981 0
3 Loredo99 44.2 25.3 28.3 22.7 18 0.4442 0
4 Mills 61.2 41 57.3 41 16 0.4969 0
5 Loredo06 57.5 32.1 52.5 37.5 19 0.5704 0
6 Norman 53.9 29.8 50.1 32.1 15 0.4967 0
7 Becker 65.0 26.7 33.4 29.2 16  0.5025 0
8 Spicuzza 59.2 17.3 57 8.6 10 0.5052 0
