ID	Study	MeanBaseline	sdBaseline	MeanPostBaseline	sdPostBaseline	Correlation	NCFB	group
1	ATMH	152.28	15.25	132.85	16.72	0.265	780	1
2	HEP	189.94	16.15	165.06	20.03	0.335	150	1
3	EWPHE	177.33	15.85	156.88	21.26	0.462	90	1
4	HDFP	151.68	19.83	130.09	19.25	0.337	2427	1
5	MRC-1	156.6	16.09	135.49	16.32	0.346	3546	1
6	MRC-2	182.19	12.63	153.99	20.13	0.178	1314	1
7	SHEP	170.49	9.5	145.1	19.05	0.315	2365	1
8	STOP	194.68	12.21	171.46	19.29	0.177	137	1
9	Sy-Chi	170.73	10.9	150.2	15.84	0.199	1252	1
10	Sy-Eur	173.75	9.86	154.87	16.31	0.319	2398	1
1	ATMH	153.05	15.73	139.75	17.85	0.284	750	0
2	HEP	191.55	17.64	179.89	22.15	0.331	199	0
3	EWPHE	178.23	15.06	170.45	26.91	0.534	82	0
4	HDFP	151	19.53	138.54	21.26	0.408	2370	0
5	MRC-1	156.65	15.96	144.25	17.58	0.416	3445	0
6	MRC-2	182.13	12.73	164.58	19.71	0.137	1337	0
7	SHEP	170.12	9.24	156.24	20.12	0.253	2371	0
8	STOP	194.15	11.16	189.11	21.9	0.414	131	0
9	Sy-Chi	170.25	11.41	156.55	16.86	0.347	1139	0
10	Sy-Eur	173.94	10.07	165.24	16.33	0.431	2297	0
